date,max_temp,min_temp,avg_temp
2026-03-17,29.4,15.6,22.5
2026-03-18,30.4,16.6,23.5
2026-03-19,25.4,16.6,21.0
2026-03-20,19.6,14.6,17.1
2026-03-21,26.5,14.3,20.4
2026-03-22,28.5,15.2,21.85
2026-03-23,26.2,18.4,22.299999999999997
2026-03-24,30.1,18.2,24.15
2026-03-25,31.4,17.3,24.35
2026-03-26,33.1,20.1,26.6
2026-03-27,29.7,19.9,24.799999999999997
